UniProtIds	PLFrequency
P33176	0.091
P33316	0.091
P33778	0.091
P33993	0.091
P34932	0.091
P35268	0.091
P35573	0.091
P35580	0.091
P35613	0.091
P35813	0.091
P35998	0.091
P36776	0.091
P38117	0.091
P38606	0.091
P38919	0.091
P40429	0.091
P40939	0.091
P41091	0.091
P41236	0.091
P41250	0.091
P41567	0.091
P42025	0.091
P42166	0.091
P42224	0.091
P42285	0.091
P42345	0.091
P42575	0.091
P42677	0.091
P42694	0.091
P42704	0.091
P42765	0.091
P43307	0.091
P43490	0.091
P43686	0.091
P46013	0.091
P46060	0.091
P46087	0.091
P46734	0.091
P46779	0.091
P47914	0.091
P48059	0.091
P48506	0.091
P48507	0.091
P48556	0.091
P48634	0.091
P48729	0.091
P48739	0.091
P49207	0.091
P49419	0.091
P49458	0.091
P49643	0.091
P49736	0.091
P49756	0.091
P49773	0.091
P50213	0.091
P50238	0.091
P50336	0.091
P50502	0.091
P50570	0.091
P50914	0.091
P51580	0.091
P52209	0.091
P52701	0.091
P52907	0.091
P53602	0.091
P53618	0.091
P53634	0.091
P54577	0.091
P54725	0.091
P54727	0.091
P54819	0.091
P54886	0.091
P55769	0.091
P55854	0.091
P55884	0.091
P56199	0.091
P57721	0.091
P58546	0.091
P60174	0.091
P60660	0.091
P60709	0.091
P60981	0.091
P61086	0.091
P61221	0.091
P61289	0.091
P61313	0.091
P61604	0.091
P61764	0.091
P61916	0.091
P61923	0.091
P61956	0.091
P61970	0.091
P62081	0.091
P62191	0.091
P62241	0.091
P62253	0.091
P62269	0.091
P62280	0.091
P62314	0.091
P62316	0.091
P62328	0.091
P62330	0.091
P62633	0.091
P62753	0.091
P62805	0.091
P62829	0.091
P62851	0.091
P62854	0.091
P62861	0.091
P62873	0.091
P62906	0.091
P62910	0.091
P62913	0.091
P63000	0.091
P63096	0.091
P63098	0.091
P63167	0.091
P63208	0.091
P63313	0.091
P67775	0.091
P68032	0.091
P78344	0.091
P82979	0.091
P84103	0.091
P84243	0.091
P98175	0.091
Q00341	0.091
Q00688	0.091
Q01433	0.091
Q01518	0.091
Q01650	0.091
Q01970	0.091
Q02413	0.091
Q02878	0.091
Q03468	0.091
Q04760	0.091
Q05397	0.091
Q05639	0.091
Q07021	0.091
Q07065	0.091
Q07617	0.091
Q07666	0.091
Q07960	0.091
Q08378	0.091
Q08380	0.091
Q08752	0.091
Q08945	0.091
Q12769	0.091
Q12789	0.091
Q12792	0.091
Q12873	0.091
Q12906	0.091
Q12907	0.091
Q12955	0.091
Q13045	0.091
Q13085	0.091
Q13131	0.091
Q13148	0.091
Q13151	0.091
Q13153	0.091
Q13155	0.091
Q13163	0.091
Q13263	0.091
Q13409	0.091
Q13464	0.091
Q13620	0.091
Q13642	0.091
Q13868	0.091
Q14008	0.091
Q14019	0.091
Q14103	0.091
Q14119	0.091
Q14126	0.091
Q14160	0.091
Q14203	0.091
Q14240	0.091
Q14320	0.091
Q14376	0.091
Q14432	0.091
Q14444	0.091
Q14562	0.091
Q14566	0.091
Q14789	0.091
Q15018	0.091
Q15021	0.091
Q15031	0.091
Q15274	0.091
Q15291	0.091
Q15365	0.091
Q15428	0.091
Q15437	0.091
Q15459	0.091
Q15477	0.091
Q15642	0.091
Q15645	0.091
Q15696	0.091
Q15758	0.091
Q16527	0.091
Q16539	0.091
Q16576	0.091
Q16629	0.091
Q16637	0.091
Q16778	0.091
Q16836	0.091
Q2M389	0.091
Q2TAY7	0.091
Q32P41	0.091
Q53EL6	0.091
Q5JS54	0.091
Q5JTY5	0.091
Q5R3I4	0.091
Q5RIA9	0.091
Q5SSJ5	0.091
Q5T6V5	0.091
Q5T7N3	0.091
Q5VIR6	0.091
Q5VVQ6	0.091
Q63HN8	0.091
Q6EMK4	0.091
Q6P158	0.091
Q6P1N9	0.091
Q6P2E9	0.091
Q6P3X3	0.091
Q6PHR2	0.091
Q6UVK1	0.091
Q6XQN6	0.091
Q6Y7W6	0.091
Q6ZS30	0.091
Q71UM5	0.091
Q7L576	0.091
Q7LBR1	0.091
Q7Z401	0.091
